,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,Animal,Behavior
1,0.1217,0.2315,1.0648,0.1035,0.1523,1.1095,0.1436,0.0992,1.072,0.1386,0.0967,1.1048,0.3582,0.0798,1.1667,0.4833,0.1261,0.8977,0.0285,0.1217,0.7395,-0.1952,0.0688,0.8127,-0.0651,0.0594,0.7057,-0.0297,0.0219,0.7648,0.0547,0.0463,0.9975,0.0826,0.0866,1.1004,0.147,0.1467,1.0372,0.1799,0.1226,1.0385,0.061,0.0845,1.1417,0.2809,0.1176,1.1389,0.177,0.1871,0.8586,-0.0738,0.0444,0.5693,-0.2659,-0.172,0.8837,-0.1486,0.0704,1.0088,-0.0088,-0.0657,0.7667,0.3328,0.0469,1.1458,0.2043,0.0507,1.097,0.2262,0.0807,1.0494,0.28,0.1204,1.0338,0.193,0.2249,1.1176,0.2434,0.1993,1.1148,0.2509,0.1336,0.8552,0.1261,0.0679,0.6294,-0.0454,0.036,0.7288,0.0588,0.1023,1.001,0.2671,0.163,1.2506,0.3241,0.1874,1.157,0.234,0.1799,1.1364,0.2283,0.1799,1.0604,0.2308,0.1949,1.0817,0.2962,0.2299,1.0704,0.37,0.2649,0.9803,0.2465,0.2915,0.853,0.0469,0.1282,0.9024,-0.1892,0.0072,0.9162,-0.0823,0.2193,1.0113,-0.0769,0.092,0.9741,0.0469,0.2581,1.4623,-0.0078,0.1642,1.2512,0.1345,0.1464,1.2562,0.1858,0.0951,1.1849,0.3441,0.1057,1.1492,0.3203,0.0995,1.1692,0.1142,0.1846,0.9212,KR52F001,Sweep
2,-0.1749,0.0688,1.0141,-0.2843,0.0394,0.9972,-0.2721,0.0191,0.9809,-0.2565,0.0253,0.9522,-0.2549,0.0438,0.9572,-0.2224,0.0719,0.9547,-0.1633,0.0807,0.9781,-0.1295,0.0838,1.0044,-0.1073,0.0801,1.0147,-0.0704,0.0845,0.9978,-0.0954,0.0926,0.9931,-0.0741,0.087,1.0207,-0.0344,0.086,1.0244,-0.0156,0.0704,1.001,0.0,0.0547,1.0244,0.0078,0.0626,1.0244,0.0156,0.0469,1.0244,0.0156,0.0782,1.0322,-0.0156,0.0938,1.0401,-0.1017,0.086,1.0244,-0.1564,0.0782,0.9853,-0.1799,0.0938,1.0166,-0.2424,0.0938,1.0166,-0.2502,0.0078,0.9462,-0.3128,0.0078,0.9071,-0.3441,0.0469,0.9071,-0.3441,0.0235,0.9228,-0.3441,0.0313,0.9619,-0.3519,0.0391,0.9775,-0.3363,0.0547,0.9697,-0.3363,0.0547,0.9775,-0.3284,0.0469,0.9697,-0.3363,0.0469,0.9697,-0.3363,0.0469,0.9697,-0.3284,0.0469,0.9697,-0.3284,0.0547,0.9697,-0.3284,0.0547,0.9775,-0.3206,0.0547,0.9775,-0.3206,0.0547,0.9775,-0.3206,0.0547,0.9775,-0.3128,0.0547,0.9697,-0.3134,0.0554,0.9691,-0.3206,0.0626,0.9628,-0.3206,0.0626,0.9684,-0.3206,0.0626,0.9619,-0.3206,0.0607,0.9637,-0.3206,0.0569,0.9675,-0.3206,0.0626,0.9619,-0.3206,0.0569,0.9619,-0.3206,0.05,0.9619,KR52F001,Stand
3,0.0022,0.0429,1.0538,0.0063,0.0526,1.0391,0.0826,0.0319,1.0441,0.2237,0.0084,1.1448,0.3081,0.0735,1.1605,0.0206,0.1761,0.8993,-0.2434,0.0535,0.808,-0.28,-0.0319,0.9178,-0.1505,0.0294,0.8214,-0.1392,0.0203,0.9447,-0.1398,0.0485,1.0735,-0.0854,-0.0066,1.1164,0.0028,-0.0053,1.0889,0.1858,-0.1883,1.0535,0.2221,-0.1689,1.1417,0.219,-0.0829,1.1717,0.3704,0.0466,1.2625,0.0888,0.0769,0.7351,-0.1564,-0.0704,0.9462,-0.2033,-0.1329,0.8993,-0.0757,0.1173,1.0604,-0.1908,0.0973,1.1692,-0.0385,-0.1282,1.1158,0.0422,-0.0963,1.0275,0.158,-0.097,0.9697,0.2174,-0.0394,1.0216,0.2621,-0.0178,1.087,0.346,0.0141,0.9619,0.0638,0.0713,0.6369,-0.0876,-0.0751,0.7007,-0.1376,-0.1142,1.0229,-0.1013,0.1142,1.1104,-0.1054,0.167,1.1186,-0.0009,0.1364,1.1743,0.1345,0.1517,1.1839,0.182,0.1142,1.1352,0.2036,0.0328,1.0864,0.2843,0.0529,1.0657,0.2296,0.0763,1.123,0.366,0.097,1.2293,0.1767,0.1542,0.8768,-0.1699,0.061,0.8743,-0.2039,0.0613,0.8693,-0.1329,0.0391,0.7976,0.0547,0.1251,1.2903,0.0278,0.0569,1.0717,0.1323,0.1064,1.0792,0.1261,0.0713,1.0763,0.1367,0.0795,1.0469,0.1423,0.0954,1.0088,KR52F001,Sweep
4,-0.1286,-0.0444,1.0357,-0.1404,-0.0463,1.0288,-0.1445,-0.0463,1.0166,-0.167,-0.0357,1.0254,-0.1924,-0.0719,1.0135,-0.1855,-0.0538,1.006,-0.1905,-0.0685,1.0035,-0.1899,-0.0635,1.0066,-0.1758,-0.0785,1.0088,-0.172,-0.0798,0.9963,-0.1917,-0.0848,1.0391,-0.1955,-0.0998,0.9997,-0.2099,-0.1089,0.9859,-0.1799,-0.0626,0.9853,-0.2346,-0.1017,0.9853,-0.2199,-0.101,1.0003,-0.2418,-0.0866,0.9859,-0.2355,-0.0967,0.996,-0.2374,-0.1186,1.0141,-0.2143,-0.122,1.0041,-0.2249,-0.1057,1.0128,-0.2255,-0.0938,0.9988,-0.2399,-0.0963,0.9906,-0.2177,-0.1073,0.9881,-0.1939,-0.1079,0.9838,-0.1861,-0.0904,0.98,-0.1867,-0.0748,0.9894,-0.2071,-0.0463,0.9853,-0.1727,-0.005,0.9985,-0.172,0.0297,1.0182,-0.1326,0.0391,1.0194,-0.107,0.0551,1.006,-0.0757,0.0513,0.9559,-0.1042,0.0469,1.0157,-0.0485,0.0156,1.0839,0.0016,-0.0513,1.0094,0.1317,-0.0901,1.0138,0.2421,-0.101,1.0022,0.2737,-0.0626,1.1886,0.2737,-0.0156,1.1574,0.1858,0.0113,1.0767,0.1301,-0.0913,1.016,0.0041,-0.0579,1.0069,-0.031,-0.0084,0.9806,-0.0704,0.1157,0.9415,-0.0666,0.2653,1.031,-0.0723,0.127,0.9928,-0.1198,0.0388,1.0422,-0.111,0.0604,1.0269,-0.0516,0.0547,0.9681,KR52F001,Stand
6,0.1689,0.0078,1.0817,0.1336,0.0673,1.1067,-0.0235,0.1673,0.9728,-0.2058,0.0563,0.9778,-0.2759,0.0038,0.9578,-0.224,-0.0432,0.8389,0.0391,0.1486,1.1417,0.1017,0.1017,0.9853,0.1408,0.0704,1.1026,0.086,0.0704,1.0557,0.1799,0.0391,1.0244,0.172,0.0469,1.0792,0.172,0.0391,1.1652,0.4379,0.0235,1.2121,0.1173,0.0313,0.8915,-0.0782,0.0704,0.7116,-0.1564,-0.1642,0.9853,0.0391,0.0156,1.0244,-0.0156,0.0626,0.8758,0.0782,0.0391,1.2668,0.1564,0.0235,1.0635,0.1408,0.0235,1.1026,0.2972,0.0235,1.0166,0.3284,0.0547,0.9853,0.3675,0.0469,1.1261,0.5005,0.0704,1.0792,0.2972,0.172,0.7664,0.0782,0.086,0.6725,-0.0626,-0.0391,0.7429,0.0078,0.0156,0.7585,0.1329,-0.1329,1.2981,0.2268,-0.1329,1.1026,0.1799,-0.0156,1.0792,0.2252,0.0619,1.0757,0.1933,0.0488,0.9881,0.2609,0.0694,0.9334,0.3078,0.0626,0.9741,0.4332,0.0735,1.1073,0.3231,0.106,1.1355,0.0848,0.0572,0.8067,-0.0816,0.0785,0.7166,-0.1917,0.1645,0.8827,-0.2299,0.0938,0.9415,-0.1933,0.0773,0.9834,-0.1333,0.0785,0.9672,-0.1211,0.0704,0.9102,-0.0866,0.0835,0.9615,-0.0954,0.1173,1.026,-0.1073,0.1029,1.0272,-0.1176,0.1232,1.0031,KR52F001,Sweep
7,0.2218,0.1064,1.0723,0.2862,0.0344,0.919,0.254,0.0647,1.0595,0.2765,0.0172,1.0845,0.2377,-0.0078,1.0698,0.2027,0.0328,1.0654,0.2678,0.0735,1.0516,0.2978,0.0891,1.0085,0.3166,0.0541,1.0413,0.341,0.036,1.0713,0.1564,0.0278,1.0197,0.0131,0.0347,0.9503,-0.0763,0.0347,0.9422,-0.0988,0.0016,0.9778,-0.0313,-0.0109,1.0322,0.025,-0.0178,1.0429,0.0497,-0.0022,1.0401,0.0547,0.0022,1.0288,0.0488,-0.0059,1.0244,0.0344,-0.0203,1.0307,0.0247,-0.0235,1.0257,0.0235,-0.0303,1.0175,0.0307,-0.0241,1.0166,0.0235,-0.0156,1.0244,0.0078,0.0,1.0166,0.2111,0.0626,1.0322,0.1095,-0.0313,0.9775,0.0156,-0.086,0.9853,-0.0078,-0.0313,0.9697,0.0391,0.0782,0.9853,0.0391,0.0704,0.9306,0.1095,0.0235,0.7976,0.3206,-0.1642,1.2981,0.305,-0.1408,1.1574,0.305,0.1017,1.1652,0.2346,0.1095,1.1495,0.219,0.1017,1.087,0.2659,0.0547,0.9149,0.2581,0.0547,0.9775,0.2659,0.086,0.9462,0.4614,0.0782,1.0166,0.3597,0.1329,1.1574,0.0547,0.0782,0.8446,-0.1642,0.0235,0.7976,-0.1251,0.3206,1.0557,-0.2268,0.0547,0.8993,-0.0938,-0.1955,0.9384,-0.1564,0.0078,0.9071,-0.1173,-0.0078,0.9775,-0.0704,0.0078,1.1183,KR52F001,Sweep
8,0.0063,0.015,1.0685,0.1602,0.0019,1.0003,0.2043,0.0244,0.9978,0.2387,0.0313,1.0397,0.3519,0.0344,1.0807,0.1686,0.0563,1.0326,-0.0572,0.0838,0.8755,-0.1567,0.0156,0.93,-0.1408,-0.1257,0.9759,-0.0532,-0.0375,1.0103,0.061,0.162,1.0244,0.0353,0.1176,0.9681,-0.05,0.0688,1.0332,-0.0507,0.147,1.0926,0.0078,0.1783,1.062,0.0078,0.1176,1.0613,0.0025,0.0676,1.0717,0.1745,0.0457,1.0961,0.2127,0.0866,1.0254,-0.0094,-0.086,0.9759,-0.1545,-0.0081,1.0091,-0.1308,-0.0463,1.0235,-0.0172,0.0316,1.0316,0.2268,-0.0313,1.001,0.3284,-0.0235,0.8446,0.2856,-0.1089,0.8499,0.1968,-0.0895,0.98,0.1952,-0.0316,1.0135,0.0845,0.031,1.0441,0.1251,0.0798,1.0307,0.209,0.1117,1.0632,0.3447,0.0895,1.0892,0.1883,0.0857,1.0698,-0.0272,0.0454,0.9941,-0.1548,-0.0172,0.9196,-0.1699,0.1079,0.9472,-0.0835,0.1167,1.1117,-0.0632,0.0272,1.0751,-0.0651,0.0103,0.9249,-0.0219,0.0469,1.001,0.0,0.1232,0.9941,-0.0532,0.0529,1.0047,-0.0106,-0.0147,1.0322,-0.026,-0.0235,1.062,-0.0266,-0.0235,1.0713,-0.0432,0.0028,1.0582,-0.0882,0.0422,1.0901,0.1508,0.0181,1.0229,0.0547,0.0782,0.954,-0.1486,0.1408,0.9306,KR52F001,Sweep
9,0.1017,0.0235,1.0132,0.1433,0.071,0.9791,0.1376,0.036,0.9822,0.1526,0.0497,0.9985,0.1633,0.0616,1.001,0.1498,0.0626,1.0082,0.1642,0.0547,1.001,0.172,0.0469,1.001,0.172,0.0544,1.0013,0.1714,0.0469,1.0088,0.1642,0.046,1.0088,0.1642,0.0404,1.01,0.1658,0.0469,1.0166,0.172,0.045,1.0147,0.1699,0.0413,1.0088,0.1642,0.0469,1.0088,0.167,0.0441,1.0088,0.1689,0.0391,1.0057,0.1677,0.0391,1.0044,0.1683,0.0391,1.0088,0.1642,0.0432,1.0088,0.1642,0.0469,1.0088,0.1642,0.0469,1.0088,0.1642,0.0519,1.0038,0.1642,0.0494,1.0063,0.1642,0.0469,1.0088,0.1702,0.0469,1.0088,0.172,0.0469,1.0025,0.172,0.0469,1.001,0.172,0.0469,1.001,0.1936,0.0181,0.9794,0.219,0.0469,1.0479,0.1564,0.0469,1.0635,0.0938,-0.0156,1.0166,0.0938,0.0547,0.9931,0.0626,0.1408,1.0635,0.0078,0.1017,0.9697,0.0469,-0.0704,1.0322,0.0938,0.1408,1.0401,0.1408,0.1251,1.0401,0.1955,0.1017,1.0322,0.0156,0.1017,1.0948,-0.0469,0.0704,1.1104,-0.0782,0.0782,1.0948,-0.0626,0.0391,1.0635,-0.0547,0.0704,1.0166,-0.1251,0.086,1.0088,-0.1329,0.0938,1.0088,-0.086,0.0938,1.0088,-0.0313,0.0626,1.0088,KR52F001,Stand
10,0.1245,-0.1035,1.0057,0.1114,0.0429,0.9356,0.1179,0.0926,0.9866,-0.0059,0.1408,0.9447,-0.0532,0.111,0.9994,0.045,-0.0078,1.0607,0.0676,-0.0253,0.9994,0.2033,-0.0679,1.0757,0.1927,-0.0175,1.1126,-0.025,0.1314,1.0807,0.1827,0.0935,1.0307,0.1652,-0.0109,1.204,0.0554,0.0175,1.2975,0.1248,-0.097,1.1273,0.2299,-0.1486,1.0322,0.1004,-0.1636,0.9609,0.0404,-0.1667,0.9916,0.0647,0.061,0.9772,0.1398,0.0119,0.9856,-0.0047,0.0375,0.9556,0.0647,0.1007,0.828,0.1135,0.0544,0.9569,0.182,0.0325,0.9487,0.219,-0.0782,0.9931,0.4614,0.0156,0.9384,0.2865,0.0078,0.9847,0.2121,0.0047,0.9722,0.1386,-0.0163,1.0019,0.1749,0.0938,1.0038,0.1799,0.1126,0.9619,0.2581,0.214,0.8955,0.116,0.2796,0.9253,0.0979,0.2021,1.0347,-0.0075,0.1583,1.0232,-0.0657,0.1501,0.9931,-0.091,0.091,0.9691,-0.0985,0.076,0.9384,-0.0823,0.0394,0.9709,-0.0685,0.0513,1.0141,-0.0547,0.05,1.0291,-0.0447,0.0469,1.0322,-0.0444,0.0682,1.0535,0.2233,0.2415,0.9115,0.2333,0.1683,0.9712,0.1846,0.0876,1.0651,0.1273,-0.0663,1.0923,0.1655,-0.0526,1.0191,0.1792,-0.2052,0.98,0.1251,0.0313,1.1808,0.219,0.0782,1.1574,KR52F001,Forward Loco
11,-0.2333,-0.0435,0.9953,-0.2327,-0.0272,0.9931,-0.2471,-0.036,1.0057,-0.2502,-0.026,1.0088,-0.2434,-0.0303,1.0019,-0.2424,-0.0313,1.001,-0.2502,-0.0391,1.0088,-0.2346,-0.0313,1.0088,-0.2424,-0.0313,1.001,-0.2346,-0.0391,1.0088,-0.2268,-0.0391,1.0166,-0.2268,-0.0391,1.0166,-0.2268,-0.0391,1.0166,-0.2111,-0.0469,1.0244,-0.172,-0.0235,1.0948,-0.2033,-0.0704,1.0713,-0.1017,-0.0469,0.954,-0.1173,0.0626,0.9853,-0.1955,0.0547,0.9697,-0.2111,-0.0391,1.0322,-0.1564,-0.0078,1.0088,-0.1799,0.0391,1.001,-0.1486,0.086,1.0401,-0.1408,0.0313,1.0401,-0.1095,0.0626,1.001,-0.0156,0.0391,1.0322,-0.0313,0.0547,1.0401,0.0235,0.0078,1.0322,-0.0156,0.0078,1.0322,0.0,0.0235,1.1026,0.0469,0.0235,1.0557,0.0313,0.0078,1.0557,0.0469,-0.0469,1.0088,0.0444,-0.0479,1.0244,-0.0131,-0.0704,1.02,0.0109,-0.0694,0.9716,-0.0197,-0.0601,0.9916,0.0125,-0.0579,1.0322,0.0551,-0.1148,1.0598,0.0247,-0.1455,1.0304,0.0128,-0.1123,0.9828,0.0235,-0.1129,0.9916,0.0266,-0.1642,0.9916,0.0141,-0.2043,0.9609,-0.0228,-0.1993,0.9697,0.0016,-0.1667,0.9656,0.0654,-0.1329,1.0188,0.086,-0.1376,1.0401,0.071,-0.1808,0.9794,0.0572,-0.2352,0.9913,KR52F001,Stand
